timestamp,consumer,quantity
2022-01-01 00:00:00+00:00,C1,4671.549
2022-01-01 01:00:00+00:00,C1,4270.676
2022-01-01 02:00:00+00:00,C1,71476.607
2022-01-01 03:00:00+00:00,C1,31277.882
2022-01-01 04:00:00+00:00,C1,1104.59
2022-01-01 05:00:00+00:00,C1,47878.54
2022-01-01 06:00:00+00:00,C1,17184.86
2022-01-01 07:00:00+00:00,C1,26854.824
2022-01-01 08:00:00+00:00,C1,68739.74
2022-01-01 09:00:00+00:00,C1,56752.293
2022-01-01 10:00:00+00:00,C1,20446.33
2022-01-01 11:00:00+00:00,C1,53196.736
2022-01-01 12:00:00+00:00,C1,26759.179
2022-01-01 13:00:00+00:00,C1,26280.98
2022-01-01 14:00:00+00:00,C1,49971.842
2022-01-01 15:00:00+00:00,C1,47967.397
2022-01-01 16:00:00+00:00,C1,61094.002
2022-01-01 17:00:00+00:00,C1,56315.685
2022-01-01 18:00:00+00:00,C1,18240.187
2022-01-01 19:00:00+00:00,C1,56199.4
2022-01-01 20:00:00+00:00,C1,68383.955
2022-01-01 21:00:00+00:00,C1,5975.498
2022-01-01 22:00:00+00:00,C1,67729.63
2022-01-01 23:00:00+00:00,C1,54179.241
2022-01-02 00:00:00+00:00,C1,36394.666
2022-01-02 01:00:00+00:00,C1,25072.217
2022-01-02 02:00:00+00:00,C1,33301.778
2022-01-02 03:00:00+00:00,C1,33053.156
2022-01-02 04:00:00+00:00,C1,17092.668
2022-01-02 05:00:00+00:00,C1,79499.934
2022-01-02 06:00:00+00:00,C1,1195.95
2022-01-02 07:00:00+00:00,C1,93977.484
2022-01-02 08:00:00+00:00,C1,7555.91
2022-01-02 09:00:00+00:00,C1,53365.519
2022-01-02 10:00:00+00:00,C1,116071.131
2022-01-02 11:00:00+00:00,C1,22414.969
2022-01-02 12:00:00+00:00,C1,95323.293
2022-01-02 13:00:00+00:00,C1,70880.268
2022-01-02 14:00:00+00:00,C1,57615.005
2022-01-02 15:00:00+00:00,C1,105983.781
2022-01-02 16:00:00+00:00,C1,19672.014
2022-01-02 17:00:00+00:00,C1,50000.118
2022-01-02 18:00:00+00:00,C1,113593.478
2022-01-02 19:00:00+00:00,C1,58542.171
2022-01-02 20:00:00+00:00,C1,90947.914
2022-01-02 21:00:00+00:00,C1,29541.489
2022-01-02 22:00:00+00:00,C1,42107.165
2022-01-02 23:00:00+00:00,C1,12934.093
2022-01-03 00:00:00+00:00,C1,46147.108
2022-01-03 01:00:00+00:00,C1,64914.827
2022-01-03 02:00:00+00:00,C1,21951.294
2022-01-03 03:00:00+00:00,C1,9023.942
2022-01-03 04:00:00+00:00,C1,81287.022
2022-01-03 05:00:00+00:00,C1,42242.203
2022-01-03 06:00:00+00:00,C1,70596.389
2022-01-03 07:00:00+00:00,C1,74439.958
2022-01-03 08:00:00+00:00,C1,39517.216
2022-01-03 09:00:00+00:00,C1,58898.351
2022-01-03 10:00:00+00:00,C1,99183.465
2022-01-03 11:00:00+00:00,C1,83442.042
2022-01-03 12:00:00+00:00,C1,28466.244
2022-01-03 13:00:00+00:00,C1,64600.655
2022-01-03 14:00:00+00:00,C1,73447.761
2022-01-03 15:00:00+00:00,C1,12522.482
2022-01-03 16:00:00+00:00,C1,81296.625
2022-01-03 17:00:00+00:00,C1,116473.276
2022-01-03 18:00:00+00:00,C1,78103.141
2022-01-03 19:00:00+00:00,C1,81464.751
2022-01-03 20:00:00+00:00,C1,23610.058
2022-01-03 21:00:00+00:00,C1,55637.756
2022-01-03 22:00:00+00:00,C1,1591.103
2022-01-03 23:00:00+00:00,C1,21063.758
2022-01-04 00:00:00+00:00,C1,88668.906
2022-01-04 01:00:00+00:00,C1,22175.639
2022-01-04 02:00:00+00:00,C1,39576.184
2022-01-04 03:00:00+00:00,C1,44164.97
2022-01-04 04:00:00+00:00,C1,10456.887
2022-01-04 05:00:00+00:00,C1,21731.258
2022-01-04 06:00:00+00:00,C1,38998.099
2022-01-04 07:00:00+00:00,C1,12919.645
2022-01-04 08:00:00+00:00,C1,138359.493
2022-01-04 09:00:00+00:00,C1,67620.648
2022-01-04 10:00:00+00:00,C1,140651.719
2022-01-04 11:00:00+00:00,C1,71395.199
2022-01-04 12:00:00+00:00,C1,100835.411
2022-01-04 13:00:00+00:00,C1,32454.245
2022-01-04 14:00:00+00:00,C1,123248.084
2022-01-04 15:00:00+00:00,C1,28671.531
2022-01-04 16:00:00+00:00,C1,7342.377
2022-01-04 17:00:00+00:00,C1,109143.2
2022-01-04 18:00:00+00:00,C1,58019.576
2022-01-04 19:00:00+00:00,C1,97464.065
2022-01-04 20:00:00+00:00,C1,86108.166
2022-01-04 21:00:00+00:00,C1,90368.377
2022-01-04 22:00:00+00:00,C1,36184.697
2022-01-04 23:00:00+00:00,C1,41134.918
2022-01-05 00:00:00+00:00,C1,64246.691
2022-01-05 01:00:00+00:00,C1,54987.917
2022-01-05 02:00:00+00:00,C1,51002.156
2022-01-05 03:00:00+00:00,C1,5643.017
2022-01-05 04:00:00+00:00,C1,74601.469
2022-01-05 05:00:00+00:00,C1,22403.663
2022-01-05 06:00:00+00:00,C1,31460.761
2022-01-05 07:00:00+00:00,C1,44876.95
2022-01-05 08:00:00+00:00,C1,78360.512
2022-01-05 09:00:00+00:00,C1,51805.295
2022-01-05 10:00:00+00:00,C1,38471.137
2022-01-05 11:00:00+00:00,C1,40332.687
2022-01-05 12:00:00+00:00,C1,22667.194
2022-01-05 13:00:00+00:00,C1,92772.381
2022-01-05 14:00:00+00:00,C1,57218.189
2022-01-05 15:00:00+00:00,C1,34073.811
2022-01-05 16:00:00+00:00,C1,86239.766
2022-01-05 17:00:00+00:00,C1,15279.213
2022-01-05 18:00:00+00:00,C1,41849.983
2022-01-05 19:00:00+00:00,C1,18785.046
2022-01-05 20:00:00+00:00,C1,23488.936
2022-01-05 21:00:00+00:00,C1,34192.435
2022-01-05 22:00:00+00:00,C1,4777.539
2022-01-05 23:00:00+00:00,C1,55002.397
